Notation 1	Name
<http://uricorn.fly/tib_lok_sys#jur-076-mb-077>	Völkerrechtliches Zivilrecht
<http://uricorn.fly/tib_lok_sys#jur-001-003>	Grundlagen / Festschriften / Rechtswissenschaftler
<http://uricorn.fly/tib_lok_sys#jur-190.1>	Öffentlich-rechtlicher Anspruch / Subjektives öffentliches Recht / Verjährung im öffentlichen / Recht / Verwaltungsrecht. Leistungsstörung / Verwaltungsrecht. Rechtsnachfolge -  Grundfragen
<http://uricorn.fly/tib_lok_sys#jur-117.9>	Europäische Rechtspflege
<http://uricorn.fly/tib_lok_sys#jur-612.1>	Willenserklärung - Einzelfragen
<http://uricorn.fly/tib_lok_sys#jur-076-ja>	Internationales Wirtschaftsrecht / GATT
<http://uricorn.fly/tib_lok_sys#jur-997.47>	Philippinen
<http://uricorn.fly/tib_lok_sys#jur-110-110.3>	Europarecht. Wirtschaftsordnungsrecht / Europarecht. Wirtschaftsverfassung / Binnenmarkt
<http://uricorn.fly/tib_lok_sys#jur-683.8>	Grundstücke – Einzelfragen
<http://uricorn.fly/tib_lok_sys#jur-745.5>	Bürgerliches Recht. Berlin
<http://uricorn.fly/tib_lok_sys#jur-450-473>	Sozialrecht / Jugendrecht
<http://uricorn.fly/tib_lok_sys#jur-909-910>	Strafverfahren. Hauptverfahren
<http://uricorn.fly/tib_lok_sys#jur-076-ky>	Internationaler Datenverkehr / Internationales Fernmeldewesen
<http://uricorn.fly/tib_lok_sys#jur-890.3>	Staatsgefährdung / Spionage / Landesverrat
<http://uricorn.fly/tib_lok_sys#jur-800.4>	Gesellschaftsrecht. Vermögen / Gesellschaftsrecht. Prüfung / Gesellschaftsrecht. Rechnungslegung
<http://uricorn.fly/tib_lok_sys#jur-971.4>	Katholisches Kirchenrecht. Kultusverwaltung
<http://uricorn.fly/tib_lok_sys#jur-121.6>	Europarecht. Konzernrecht
<http://uricorn.fly/tib_lok_sys#jur-500-558>	Zivilprozessrecht / Zwangsvollstreckungsrecht / Insolvenzrecht / Freiwillige Gerichtsbarkeit / Kostenrecht
<http://uricorn.fly/tib_lok_sys#jur-874>	Straftaten gegen Religion, Familie und Personenstand
<http://uricorn.fly/tib_lok_sys#jur-998.27>	Gambia
<http://uricorn.fly/tib_lok_sys#jur-170-179>	Verfassungsrecht. Länder / Verfassungsgerichtsbarkeit. Länder
<http://uricorn.fly/tib_lok_sys#jur-104-129>	Europäische Union
<http://uricorn.fly/tib_lok_sys#jur-555>	Kostenrecht / Gebühren
<http://uricorn.fly/tib_lok_sys#jur-905>	Grundfragen Strafverfahrensrecht
<http://uricorn.fly/tib_lok_sys#jur-998.6>	Äthiopien
<http://uricorn.fly/tib_lok_sys#jur-614.8>	Vertrag - Einzelfragen
<http://uricorn.fly/tib_lok_sys#jur-076-pm>	Internationales Prozessrecht
<http://uricorn.fly/tib_lok_sys#jur-220.1>	Öffentlicher Dienst - Grundfragen
<http://uricorn.fly/tib_lok_sys#jur-215.7>	Gemeindewirtschaftsrecht. Vermögen / Gemeindenutzungsrecht
<http://uricorn.fly/tib_lok_sys#jur-933>	Verbrechen / Typologie des Verbrechens
<http://uricorn.fly/tib_lok_sys#jur-459.5>	Erziehungsgeld / Elternzeit
<http://uricorn.fly/tib_lok_sys#jur-890.2>	Friedensverrat / Hochverrat / Attentat / Politischer Mord
<http://uricorn.fly/tib_lok_sys#jur-841.5>	Internationales Privatrecht. Anwendung von Auslandsrecht / Internationales Privatrecht. Rückverweisung
<http://uricorn.fly/tib_lok_sys#jur-884.5>	Trunkenheit am Steuer / Gefährliche Verkehrsvergehen
<http://uricorn.fly/tib_lok_sys#jur-971.6>	Katholisches Kirchenrecht. Dienstrecht
<http://uricorn.fly/tib_lok_sys#jur-289>	Denkmalschutz / Baudenkmalschutz
<http://uricorn.fly/tib_lok_sys#jur-681>	Eigentum
<http://uricorn.fly/tib_lok_sys#jur-998.84>	Mozambique / Mosambik
<http://uricorn.fly/tib_lok_sys#jur-076-pw>	Internationales Zwangsvollstreckungsrecht
